icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,squawk,spi,position_source,category,other,timestamp
4ac8a8,SAS935  ,Sweden,1751325653.0,1751325658,-122.3796,37.6195,,True,0.0,227.81,,,,7762,False,0,2025-06-30 23:21:02
a23844,RPA5699 ,United States,1751325569.0,1751325569,-77.0394,38.8678,76.2,False,67.08,175.6,-4.23,,38.1,1621,False,0,2025-06-30 23:21:02
aaac21,SKW5504 ,United States,1751325503.0,1751325503,-122.3801,37.6196,,True,6.17,298.12,,,,7231,False,0,2025-06-30 23:21:02
a513ac,UAL8154 ,United States,1751325570.0,1751325570,-122.3766,37.6101,,True,7.72,208.12,,,,,False,0,2025-06-30 23:21:02
a7dbaa,SKW5913 ,United States,1751325549.0,1751325549,-122.3864,37.6215,,True,2.06,118.12,,,,,False,0,2025-06-30 23:21:02
abb245,SWA2349 ,United States,1751325398.0,1751325398,-122.3821,37.6204,,True,4.89,298.12,,,,2032,False,0,2025-06-30 23:21:02
a280fe,SWA537  ,United States,1751325632.0,1751325632,-122.3784,37.6203,,True,2.06,230.62,,,,6213,False,0,2025-06-30 23:21:02
a6a354,JIA5254 ,United States,1751325422.0,1751325422,-77.0394,38.8672,76.2,False,67.32,170.32,-3.58,,53.34,3336,False,0,2025-06-30 23:21:02
a0cbdf,PXT150  ,United States,1751325658.0,1751325661,-122.3845,37.6276,,True,0.0,284.06,,,,6655,False,0,2025-06-30 23:21:02
